"1st Choice","2nd Choice","3rd Choice","4th Choice","5th Choice","6th Choice","7th Choice","8th Choice","9th Choice","10th Choice","11th Choice","12th Choice","13th Choice","14th Choice","15th Choice","16th Choice","17th Choice","18th Choice","19th Choice","20th Choice","21st Choice","22nd Choice","23rd Choice","24th Choice","25th Choice","26th Choice"
"Sivongxay, Vatsady","Siddiqui, Sumbul","Okamoto, Nadya T.","Musgrave, Adriane B.","Gebru, Samuel","Volmar, Gwen Thomas","Pillai, Hari I.","Carlone, Dennis J.","Zondervan, Quinton Y.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","McGovern, Marc C.","Carlone, Dennis J.","Levy, Ilan","Siddiqui, Sumbul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Zondervan, Quinton Y.","Sivongxay, Vatsady","Mallon, Alana M.","Devereux, Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McGovern, Marc C.","Devereux, Jan","Siddiqui, Sumbul","D'Ambrosio, Olivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Siddiqui, Sumbul","Sivongxay, Vatsady","Burgin, Josh M.","Devereux, Jan","Volmar, Gwen Thomas","Levy, Ilan","Okamoto, Nadya T.","Simmons, E. Denise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McGovern, Marc C.","Carlone, Dennis J.","Devereux, Jan","Zondervan, Quinton Y.","Siddiqui, Sumbul","Tierney, Sean","Volmar, Gwen Thomas","D'Ambrosio, Olivia","Mallon, Alana M.","Musgrave, Adriane B.","Harding, Jr., Richard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Simmons, E. Denise","Musgrave, Adriane B.","D'Ambrosio, Olivia","Mallon, Alana M.","Devereux, Jan","Sivongxay, Vatsady","Gebru, Samuel","Carlone, Dennis J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Carlone, Dennis J.","Zondervan, Quinton Y.","Devereux, Jan","Sivongxay, Vatsady","Okamoto, Nadya T.","Santos, Jeff","Tierney, Sean","Musgrave, Adriane B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlone, Dennis J.","Zondervan, Quinton Y.","Siddiqui, Sumbul","D'Ambrosio, Olivia","Sivongxay, Vatsady","Devereux, Jan","Okamoto, Nadya T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlone, Dennis J.","Zondervan, Quinton Y.","Devereux, Jan","Siddiqui, Sumbul","Sivongxay, Vatsady",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","D'Ambrosio, Olivia","Devereux, Jan","Tierney, Sean","Mallon, Alana M.","Zondervan, Quinton Y.","Musgrave, Adriane B.","Carlone, Dennis J.","Gebru, Samuel","McGovern, Marc C.","Sivongxay, Vatsady",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mallon, Alana M.","Sivongxay, Vatsady","Siddiqui, Sumbul","Levy, Ilan","D'Ambrosio, Olivia","Devereux, Jan","Carlone, Dennis J.","Benjamin, Ronald","Tierney, Sean","Toomey, Jr., Timothy J.","Volmar, Gwen Thomas","Zondervan, Quinton Y.","Gebru, Samuel","Santos, Jeff","Pillai, Hari I.","Musgrave, Adriane B.","Moree, Gregg J.","Okamoto, Nadya T.",NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Zondervan, Quinton Y.","Carlone, Dennis J.","Devereux, Jan","D'Ambrosio, Olivia","Simmons, E. Denise","Kelley, Craig A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Siddiqui, Sumbul","Sivongxay, Vatsady","Carlone, Dennis J.","Devereux, Jan","D'Ambrosio, Olivia","Gebru, Samuel","Tierney, Sean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise","Siddiqui, Sumbul","Zondervan, Quinton Y.","Sivongxay, Vatsady","Musgrave, Adriane B.","Devereux, Jan","Carlone, Dennis J.","McGovern, Marc C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Simmons, E. Denise","Sivongxay, Vatsady","Musgrave, Adriane B.","Zondervan, Quinton Y.","Devereux, Jan","Okamoto, Nadya T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","Zondervan, Quinton Y.","Carlone, Dennis J.","Siddiqui, Sumbul","Simmons, E. Denise","D'Ambrosio, Olivia","Sivongxay, Vatsady",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Sivongxay, Vatsady","Okamoto, Nadya T.","McGovern, Marc C.","Zondervan, Quinton Y.","Devereux, Jan","Carlone, Dennis J.","Simmons, E. Denise","Gebru, Samuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mallon, Alana M.","Zondervan, Quinton Y.","Sivongxay, Vatsady","Siddiqui, Sumbul","Devereux, Jan","Carlone, Dennis J.","D'Ambrosio, Olivia","Okamoto, Nadya T.","McGovern, Marc C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise","Zondervan, Quinton Y.","Carlone, Dennis J.","Siddiqui, Sumbul","Tierney, Sean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Musgrave, Adriane B.","Devereux, Jan","McGovern, Marc C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harding, Jr., Richard","Zondervan, Quinton Y.","Gebru, Samuel","Siddiqui, Sumbul","McGovern, Marc C.","Devereux, Jan","Musgrave, Adriane B.","Carlone, Dennis J.","Tierney, Sean","Kelley, Craig A.","Mallon, Alana M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlone, Dennis J.","Siddiqui, Sumbul","Sivongxay, Vatsady","Zondervan, Quinton Y.","Devereux, Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Devereux, Jan","Musgrave, Adriane B.","McGovern, Marc C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burgin, Josh M.","Santos, Jeff","Zondervan, Quinton Y.","Siddiqui, Sumbul","Carlone, Dennis J.","Sivongxay, Vatsady","McGovern, Marc C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlone, Dennis J.","Siddiqui, Sumbul","Simmons, E. Denise","McGovern, Marc C.","Sivongxay, Vatsady","Zondervan, Quinton Y.","Levy, Ilan","Tierney, Sean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gebru, Samuel","Siddiqui, Sumbul","McGovern, Marc C.","Zondervan, Quinton Y.","Sivongxay, Vatsady","Volmar, Gwen Thomas","Carlone, Dennis J.","Devereux, Jan","Tierney, Sean","Musgrave, Adriane B.","Kelley, Craig A.","Levy, Ilan","Mallon, Alana M.","Pillai, Hari I.","D'Ambrosio, Olivia","Simmons, E. Denise","Harding, Jr., Richard","Benjamin, Ronald","Burgin, Josh M.","Santos, Jeff","Toner, Paul F.","Toomey, Jr., Timothy J.","Okamoto, Nadya T.","Lenke, Dan","Moree, Gregg J.","Sutton, Bryan"
"Tierney, Sean","Sivongxay, Vatsady","Siddiqui, Sumbul","Zondervan, Quinton Y.","Gebru, Samuel","Devereux, Jan","Carlone, Dennis J.","McGovern, Marc C.","Musgrave, Adriane B.","Santos, Jeff","Simmons, E. Denise","D'Ambrosio, Olivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Okamoto, Nadya T.","Siddiqui, Sumbul","Sivongxay, Vatsady","Zondervan, Quinton Y.","Carlone, Dennis J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sivongxay, Vatsady","Siddiqui, Sumbul","Devereux, Jan","McGovern, Marc C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Okamoto, Nadya T.","Santos, Jeff","Zondervan, Quinton Y.","McGovern, Marc C.","D'Ambrosio, Olivia","Siddiqui, Sumbul","Sivongxay, Vatsady",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sivongxay, Vatsady","Siddiqui, Sumbul","Mallon, Alana M.","Okamoto, Nadya T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Zondervan, Quinton Y.","Sivongxay, Vatsady","Gebru, Samuel","Simmons, E. Denise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Sivongxay, Vatsady","D'Ambrosio, Olivia","Carlone, Dennis J.","Zondervan, Quinton Y.","Devereux, Jan","Okamoto, Nadya T.","Volmar, Gwen Thomas","Tierney, Sean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Sivongxay, Vatsady","D'Ambrosio, Olivia","Carlone, Dennis J.","Devereux, Jan","Zondervan, Quinton Y.","Tierney, Sean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Devereux, Jan","Carlone, Dennis J.","Siddiqui, Sumbul","Sivongxay, Vatsady","McGovern, Marc C.","Simmons, E. Denise","Harding, Jr., Richard","Mallon, Alana M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Pillai, Hari I.","Mallon, Alana M.","Sivongxay, Vatsady","Carlone, Dennis J.","Devereux, Jan","Siddiqui, Sumbul","Burgin, Josh M.","Simmons, E. Denise","Harding, Jr., Richard","Benjamin, Ronald",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Mallon, Alana M.","Pillai, Hari I.","Devereux, Jan","Siddiqui, Sumbul","Carlone, Dennis J.","Burgin, Josh M.","Sivongxay, Vatsady","Kelley, Craig A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kelley, Craig A.","Siddiqui, Sumbul","Zondervan, Quinton Y.","Sivongxay, Vatsady","Simmons, E. Denise","McGovern, Marc C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Carlone, Dennis J.","Devereux, Jan","Sivongxay, Vatsady","Siddiqui, Sumbul","McGovern, Marc C.","Musgrave, Adriane B.","Simmons, E. Denise","Tierney, Sean","Mallon, Alana M.","Gebru, Samuel","D'Ambrosio, Olivia","Levy, Ilan","Moree, Gregg J.","Pillai, Hari I.","Sutton, Bryan","Volmar, Gwen Thomas","Okamoto, Nadya T.",NA,NA,NA,NA,NA,NA,NA,NA
"McGovern, Marc C.","Devereux, Jan","Carlone, Dennis J.","Simmons, E. Denise","Siddiqui, Sumbul","Musgrave, Adriane B.","Zondervan, Quinton Y.","Tierney, Sean","Santos, Jeff","Mallon, Alana M.","Kelley, Craig A.","Sivongxay, Vatsady",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Gebru, Samuel","Kelley, Craig A.","Mallon, Alana M.","Siddiqui, Sumbul","Devereux, Jan","Simmons, E. Denise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Carlone, Dennis J.","Devereux, Jan","Siddiqui, Sumbul","Sivongxay, Vatsady","Simmons, E. Denise","McGovern, Marc C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlone, Dennis J.","Zondervan, Quinton Y.","Siddiqui, Sumbul","Sivongxay, Vatsady","D'Ambrosio, Olivia","Devereux, Jan","Okamoto, Nadya T.","Mallon, Alana M.","Harding, Jr., Richard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D'Ambrosio, Olivia","Okamoto, Nadya T.","Carlone, Dennis J.","Zondervan, Quinton Y.","Simmons, E. Denise","Siddiqui, Sumbul","Devereux, Jan","Sivongxay, Vatsady","Kelley, Craig A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Sivongxay, Vatsady","Siddiqui, Sumbul","Devereux, Jan","Volmar, Gwen Thomas","Carlone, Dennis J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","Siddiqui, Sumbul","Volmar, Gwen Thomas","Sivongxay, Vatsady","Simmons, E. Denise","Zondervan, Quinton Y.","Kelley, Craig A.","McGovern, Marc C.","Gebru, Samuel","Harding, Jr., Richard","Levy, Ilan","Okamoto, Nadya T.","Santos, Jeff","Benjamin, Ronald","Carlone, Dennis J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Simmons, E. Denise","Carlone, Dennis J.","McGovern, Marc C.","Sivongxay, Vatsady",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D'Ambrosio, Olivia","Kelley, Craig A.","Siddiqui, Sumbul","Okamoto, Nadya T.","Devereux, Jan","Sivongxay, Vatsady","Zondervan, Quinton Y.","McGovern, Marc C.","Simmons, E. Denise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","Carlone, Dennis J.","Zondervan, Quinton Y.","Sivongxay, Vatsady","Siddiqui, Sumbul","McGovern, Marc C.","Levy, Ilan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Devereux, Jan","Santos, Jeff","Carlone, Dennis J.","Sivongxay, Vatsady","Siddiqui, Sumbul","Okamoto, Nadya T.","Pillai, Hari I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gebru, Samuel","D'Ambrosio, Olivia","Tierney, Sean","Carlone, Dennis J.","Siddiqui, Sumbul","Sivongxay, Vatsady","Devereux, Jan","Zondervan, Quinton Y.","Mallon, Alana M.","Musgrave, Adriane B.","McGovern, Marc C.","Okamoto, Nadya T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tierney, Sean","Carlone, Dennis J.","Siddiqui, Sumbul","Sivongxay, Vatsady","Gebru, Samuel","Devereux, Jan","Zondervan, Quinton Y.","D'Ambrosio, Olivia","Mallon, Alana M.","Musgrave, Adriane B.","McGovern, Marc C.","Okamoto, Nadya T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McGovern, Marc C.","Siddiqui, Sumbul","Devereux, Jan","Gebru, Samuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kelley, Craig A.","Musgrave, Adriane B.","Siddiqui, Sumbul","Devereux, Jan","Zondervan, Quinton Y.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Volmar, Gwen Thomas","Zondervan, Quinton Y.","Gebru, Samuel","Devereux, Jan","Siddiqui, Sumbul","Sivongxay, Vatsady",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kelley, Craig A.","Zondervan, Quinton Y.","Siddiqui, Sumbul","Levy, Ilan","Devereux, Jan","Sivongxay, Vatsady","D'Ambrosio, Olivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Levy, Ilan","Siddiqui, Sumbul","D'Ambrosio, Olivia","Carlone, Dennis J.","Devereux, Jan","Kelley, Craig A.","Zondervan, Quinton Y.","Sivongxay, Vatsady",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlone, Dennis J.","Devereux, Jan","Volmar, Gwen Thomas","Levy, Ilan","Siddiqui, Sumbul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Devereux, Jan","Sivongxay, Vatsady","Siddiqui, Sumbul","Carlone, Dennis J.","McGovern, Marc C.","Simmons, E. Denise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Okamoto, Nadya T.","Gebru, Samuel","Siddiqui, Sumbul","Sivongxay, Vatsady","Devereux, Jan","Carlone, Dennis J.","McGovern, Marc C.","Santos, Jeff","Simmons, E. Denise","Mallon, Alana M.","Musgrave, Adriane B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","Tierney, Sean","Carlone, Dennis J.","McGovern, Marc C.","Siddiqui, Sumbul","Zondervan, Quinton Y.","Mallon, Alana M.","Harding, Jr., Richard","Sivongxay, Vatsady",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Siddiqui, Sumbul","Sivongxay, Vatsady","D'Ambrosio, Olivia","Devereux, Jan","Carlone, Dennis J.","Gebru, Samuel","Mallon, Alana M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kelley, Craig A.","Devereux, Jan","Zondervan, Quinton Y.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","D'Ambrosio, Olivia","Santos, Jeff","Okamoto, Nadya T.","Siddiqui, Sumbul","Simmons, E. Denise","Sivongxay, Vatsady","Gebru, Samuel","Tierney, Sean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Simmons, E. Denise","Sivongxay, Vatsady","Devereux, Jan","Carlone, Dennis J.","Zondervan, Quinton Y.","Tierney, Sean","D'Ambrosio, Olivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Santos, Jeff","Zondervan, Quinton Y.","Carlone, Dennis J.","McGovern, Marc C.","Sivongxay, Vatsady",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gebru, Samuel","Zondervan, Quinton Y.","Siddiqui, Sumbul","Sivongxay, Vatsady","Simmons, E. Denise","McGovern, Marc C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise","Siddiqui, Sumbul","Zondervan, Quinton Y.","Sivongxay, Vatsady","Devereux, Jan","Carlone, Dennis J.","Gebru, Samuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kelley, Craig A.","Devereux, Jan","Zondervan, Quinton Y.","McGovern, Marc C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlone, Dennis J.","Siddiqui, Sumbul","Devereux, Jan","McGovern, Marc C.","Kelley, Craig A.","Harding, Jr., Richard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Sivongxay, Vatsady","Zondervan, Quinton Y.","Carlone, Dennis J.","Devereux, Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlone, Dennis J.","Zondervan, Quinton Y.","Siddiqui, Sumbul","Devereux, Jan","Kelley, Craig A.","Simmons, E. Denise","Toomey, Jr., Timothy J.","Gebru, Samuel","Toner, Paul F.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlone, Dennis J.","Devereux, Jan","Santos, Jeff","Siddiqui, Sumbul","Sivongxay, Vatsady","Zondervan, Quinton Y.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Sivongxay, Vatsady","Siddiqui, Sumbul","Carlone, Dennis J.","Devereux, Jan","Simmons, E. Denise","Kelley, Craig A.","Toomey, Jr., Timothy J.","McGovern, Marc C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise","Siddiqui, Sumbul","Gebru, Samuel","Mallon, Alana M.","Zondervan, Quinton Y.","Benjamin, Ronald","Devereux, Jan","Sivongxay, Vatsady",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simmons, E. Denise","Carlone, Dennis J.","Zondervan, Quinton Y.","Devereux, Jan","Siddiqui, Sumbul","Santos, Jeff","Sivongxay, Vatsady",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Carlone, Dennis J.","D'Ambrosio, Olivia","Devereux, Jan","Gebru, Samuel","Levy, Ilan","McGovern, Marc C.","Okamoto, Nadya T.","Simmons, E. Denise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Gebru, Samuel","Zondervan, Quinton Y.","Devereux, Jan","McGovern, Marc C.","Tierney, Sean","Pillai, Hari I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McGovern, Marc C.","Carlone, Dennis J.","Siddiqui, Sumbul","Zondervan, Quinton Y.","Devereux, Jan","Simmons, E. Denise","Kelley, Craig A.","Sivongxay, Vatsady","D'Ambrosio, Olivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","Zondervan, Quinton Y.","Carlone, Dennis J.","Siddiqui, Sumbul","Harding, Jr., Richard","Levy, Ilan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kelley, Craig A.","Mallon, Alana M.","Sivongxay, Vatsady","Siddiqui, Sumbul","Zondervan, Quinton Y.","Toomey, Jr., Timothy J.","Devereux, Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlone, Dennis J.","Devereux, Jan","Siddiqui, Sumbul","Gebru, Samuel","McGovern, Marc C.","Simmons, E. Denise","Zondervan, Quinton Y.","Kelley, Craig A.","Okamoto, Nadya T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Siddiqui, Sumbul","Devereux, Jan","Carlone, Dennis J.","D'Ambrosio, Olivia","Kelley, Craig A.","Simmons, E. Denise","Mallon, Alana M.","McGovern, Marc C.","Sivongxay, Vatsady",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","Carlone, Dennis J.","Zondervan, Quinton Y.","Siddiqui, Sumbul","D'Ambrosio, Olivia","Sivongxay, Vatsady",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Volmar, Gwen Thomas","Carlone, Dennis J.","Devereux, Jan","McGovern, Marc C.","Siddiqui, Sumbul","Sivongxay, Vatsady","Mallon, Alana M.","Musgrave, Adriane B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Zondervan, Quinton Y.","Volmar, Gwen Thomas","Devereux, Jan","Gebru, Samuel","Simmons, E. Denise","Carlone, Dennis J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Siddiqui, Sumbul","Sivongxay, Vatsady","Devereux, Jan","Gebru, Samuel","McGovern, Marc C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siddiqui, Sumbul","Simmons, E. Denise","Kelley, Craig A.","Devereux, Jan","Zondervan, Quinton Y.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zondervan, Quinton Y.","Harding, Jr., Richard","Siddiqui, Sumbul","McGovern, Marc C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gebru, Samuel","Sivongxay, Vatsady","Zondervan, Quinton Y.","McGovern, Marc C.","D'Ambrosio, Olivia","Simmons, E. Denise","Siddiqui, Sumbul","Harding, Jr., Richard","Devereux, Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sivongxay, Vatsady","Siddiqui, Sumbul","Zondervan, Quinton Y.","Devereux, Jan","Okamoto, Nadya T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devereux, Jan","Zondervan, Quinton Y.","Carlone, Dennis J.","Siddiqui, Sumbul","Simmons, E. Denise","Okamoto, Nadya T.","Musgrave, Adriane B.","D'Ambrosio, Olivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
