"","scale","group1wins","average_ballot_length_all","average_ballot_length_group1"
"286","0.94",2,5.457,4.6425
"287","0.96",2,5.684,5.21
"288","0.97",2,5.786,5.465
"289","0.98",2,5.833,5.5825
"290","0.99",2,5.9,5.75
"291","0.37",2,4.164,1.41
"292","0.6",2,4.427,2.0675
"293","0.75",2,4.682,2.705
"294","0.84",2,4.937,3.3425
"295","0.9",2,5.26,4.15
"296","0.94",2,5.503,4.7575
"297","0.96",2,5.642,5.105
"298","0.97",2,5.799,5.4975
"299","0.98",2,5.846,5.615
"300","0.99",2,5.917,5.7925
"301","0.37",1,4.18,1.45
"302","0.6",2,4.422,2.055
"303","0.75",2,4.631,2.5775
"304","0.84",2,4.957,3.3925
"305","0.9",2,5.275,4.1875
"306","0.94",2,5.528,4.82
"307","0.96",2,5.683,5.2075
"308","0.97",2,5.773,5.4325
"309","0.98",2,5.869,5.6725
"310","0.99",2,5.91,5.775
"311","0.37",2,4.168,1.42
"312","0.6",2,4.392,1.98
"313","0.75",2,4.657,2.6425
"314","0.84",2,4.96,3.4
"315","0.9",2,5.242,4.105
"316","0.94",2,5.496,4.74
"317","0.96",2,5.641,5.1025
"318","0.97",2,5.748,5.37
"319","0.98",2,5.865,5.6625
"320","0.99",2,5.94,5.85
"321","0.37",2,4.178,1.445
"322","0.6",2,4.363,1.9075
"323","0.75",2,4.695,2.7375
"324","0.84",2,4.983,3.4575
"325","0.9",2,5.245,4.1125
"326","0.94",2,5.466,4.665
"327","0.96",2,5.662,5.155
"328","0.97",2,5.799,5.4975
"329","0.98",2,5.852,5.63
"330","0.99",2,5.882,5.705
"331","0.37",2,4.188,1.47
"332","0.6",2,4.386,1.965
"333","0.75",2,4.642,2.605
"334","0.84",2,4.971,3.4275
"335","0.9",2,5.25,4.125
"336","0.94",2,5.51,4.775
"337","0.96",2,5.662,5.155
"338","0.97",2,5.755,5.3875
"339","0.98",2,5.866,5.665
"340","0.99",2,5.914,5.785
"341","0.37",2,4.196,1.49
"342","0.6",2,4.386,1.965
"343","0.75",2,4.708,2.77
"344","0.84",2,4.928,3.32
"345","0.9",2,5.25,4.125
"346","0.94",2,5.435,4.5875
"347","0.96",2,5.612,5.03
"348","0.97",2,5.81,5.525
"349","0.98",2,5.865,5.6625
"350","0.99",2,5.914,5.785
"351","0.37",2,4.182,1.455
"352","0.6",2,4.415,2.0375
"353","0.75",2,4.655,2.6375
"354","0.84",2,4.948,3.37
"355","0.9",2,5.178,3.945
"356","0.94",2,5.463,4.6575
"357","0.96",2,5.637,5.0925
"358","0.97",2,5.754,5.385
"359","0.98",2,5.875,5.6875
"360","0.99",2,5.894,5.735
"361","0.37",2,4.168,1.42
"362","0.6",2,4.412,2.03
