"","scale","group1wins","average_ballot_length_all","average_ballot_length_group1"
"928","0.97",1,5.851,5.255
"929","0.98",1,5.94,5.7
"930","0.99",1,5.946,5.73
"931","0.37",1,5.101,1.505
"932","0.6",1,5.187,1.935
"933","0.75",1,5.349,2.745
"934","0.84",1,5.485,3.425
"935","0.9",1,5.657,4.285
"936","0.94",1,5.783,4.915
"937","0.96",1,5.837,5.185
"938","0.97",1,5.873,5.365
"939","0.98",1,5.936,5.68
"940","0.99",1,5.954,5.77
"941","0.37",1,5.096,1.48
"942","0.6",1,5.167,1.835
"943","0.75",1,5.346,2.73
"944","0.84",1,5.466,3.33
"945","0.9",1,5.631,4.155
"946","0.94",1,5.708,4.54
"947","0.96",1,5.819,5.095
"948","0.97",1,5.85,5.25
"949","0.98",1,5.936,5.68
"950","0.99",1,5.957,5.785
"951","0.37",1,5.076,1.38
"952","0.6",1,5.213,2.065
"953","0.75",1,5.346,2.73
"954","0.84",1,5.502,3.51
"955","0.9",1,5.563,3.815
"956","0.94",1,5.744,4.72
"957","0.96",1,5.827,5.135
"958","0.97",1,5.876,5.38
"959","0.98",1,5.913,5.565
"960","0.99",1,5.967,5.835
"961","0.37",0,5.091,1.455
"962","0.6",1,5.166,1.83
"963","0.75",1,5.324,2.62
"964","0.84",1,5.535,3.675
"965","0.9",1,5.604,4.02
"966","0.94",1,5.729,4.645
"967","0.96",1,5.837,5.185
"968","0.97",1,5.869,5.345
"969","0.98",1,5.932,5.66
"970","0.99",1,5.961,5.805
"971","0.37",1,5.087,1.435
"972","0.6",1,5.193,1.965
"973","0.75",1,5.322,2.61
"974","0.84",1,5.5,3.5
"975","0.9",1,5.6,4
"976","0.94",1,5.753,4.765
"977","0.96",1,5.802,5.01
"978","0.97",1,5.881,5.405
"979","0.98",1,5.921,5.605
"980","0.99",1,5.95,5.75
"981","0.37",1,5.092,1.46
"982","0.6",1,5.177,1.885
"983","0.75",1,5.303,2.515
"984","0.84",1,5.515,3.575
"985","0.9",1,5.589,3.945
"986","0.94",1,5.722,4.61
"987","0.96",1,5.864,5.32
"988","0.97",1,5.9,5.5
"989","0.98",1,5.915,5.575
"990","0.99",1,5.953,5.765
"991","0.37",1,5.101,1.505
"992","0.6",1,5.188,1.94
"993","0.75",1,5.33,2.65
"994","0.84",1,5.473,3.365
"995","0.9",1,5.608,4.04
"996","0.94",1,5.783,4.915
"997","0.96",1,5.858,5.29
"998","0.97",1,5.903,5.515
"999","0.98",1,5.913,5.565
"1000","0.99",1,5.941,5.705
