"","scale","group1wins","average_ballot_length_all","average_ballot_length_group1"
"198","0.97",1,5.42,5.335
"199","0.98",1,5.571,5.615
"200","0.99",1,5.719,5.66
"201","0.37",1,1.441,1.435
"202","0.6",1,1.992,2.02
"203","0.75",1,2.65,2.665
"204","0.84",1,3.466,3.39
"205","0.9",1,4.085,4.195
"206","0.94",1,4.658,4.615
"207","0.96",1,5.156,5.2
"208","0.97",1,5.379,5.37
"209","0.98",1,5.666,5.585
"210","0.99",1,5.739,5.66
"211","0.37",1,1.437,1.46
"212","0.6",2,1.927,1.985
"213","0.75",1,2.64,2.765
"214","0.84",1,3.43,3.5
"215","0.9",1,4.135,4.2
"216","0.94",1,4.631,4.59
"217","0.96",1,5.066,4.97
"218","0.97",1,5.392,5.415
"219","0.98",1,5.632,5.64
"220","0.99",1,5.73,5.74
"221","0.37",1,1.47,1.5
"222","0.6",1,2.027,2.145
"223","0.75",1,2.576,2.585
"224","0.84",1,3.462,3.565
"225","0.9",1,4.188,4.05
"226","0.94",1,4.731,4.755
"227","0.96",1,5.094,5.005
"228","0.97",1,5.43,5.35
"229","0.98",1,5.629,5.55
"230","0.99",1,5.751,5.72
"231","0.37",1,1.503,1.455
"232","0.6",1,1.996,2.055
"233","0.75",1,2.615,2.62
"234","0.84",1,3.42,3.37
"235","0.9",1,4.012,3.89
"236","0.94",1,4.649,4.695
"237","0.96",1,5.204,5.17
"238","0.97",1,5.434,5.38
"239","0.98",1,5.593,5.585
"240","0.99",1,5.802,5.845
"241","0.37",2,1.46,1.435
"242","0.6",1,1.971,1.965
"243","0.75",1,2.596,2.61
"244","0.84",1,3.464,3.49
"245","0.9",1,4.16,4.06
"246","0.94",1,4.694,4.72
"247","0.96",1,5.11,5.185
"248","0.97",1,5.405,5.325
"249","0.98",1,5.581,5.63
"250","0.99",1,5.781,5.74
"251","0.37",1,1.433,1.51
"252","0.6",1,1.98,2.13
"253","0.75",1,2.693,2.74
"254","0.84",1,3.383,3.3
"255","0.9",1,4.103,4.09
"256","0.94",1,4.734,4.66
"257","0.96",1,5.093,5
"258","0.97",1,5.431,5.54
"259","0.98",1,5.595,5.715
"260","0.99",1,5.741,5.745
"261","0.37",1,1.442,1.42
"262","0.6",1,1.97,2.11
"263","0.75",1,2.661,2.65
"264","0.84",1,3.447,3.425
"265","0.9",1,4.022,3.96
"266","0.94",1,4.705,4.795
"267","0.96",1,5.154,5.22
"268","0.97",1,5.456,5.565
"269","0.98",1,5.671,5.725
"270","0.99",1,5.77,5.85
"271","0.37",1,1.434,1.425
"272","0.6",1,2.01,2.015
"273","0.75",1,2.596,2.78
"274","0.84",1,3.427,3.415
"275","0.9",1,4.133,4.025
"276","0.94",1,4.66,4.83
"277","0.96",1,5.172,5.215
"278","0.97",1,5.403,5.51
"279","0.98",1,5.58,5.625
"280","0.99",1,5.753,5.845
"281","0.37",1,1.453,1.43
"282","0.6",2,1.974,1.92
"283","0.75",2,2.675,2.74
"284","0.84",1,3.481,3.13
"285","0.9",1,4.125,4.075
"286","0.94",1,4.748,4.68
"287","0.96",1,5.161,5.13
"288","0.97",1,5.404,5.395
"289","0.98",1,5.634,5.64
"290","0.99",1,5.752,5.83
"291","0.37",2,1.427,1.41
"292","0.6",1,1.922,2.025
"293","0.75",1,2.751,2.61
"294","0.84",1,3.339,3.255
"295","0.9",1,4.174,4.13
"296","0.94",1,4.673,4.54
"297","0.96",1,5.087,4.915
"298","0.97",1,5.402,5.41
"299","0.98",1,5.692,5.73
"300","0.99",1,5.768,5.785
"301","0.37",1,1.417,1.395
"302","0.6",1,2.017,1.965
"303","0.75",1,2.773,2.775
"304","0.84",1,3.398,3.26
"305","0.9",1,4.118,4.05
"306","0.94",1,4.8,4.645
"307","0.96",1,5.103,5.065
"308","0.97",1,5.379,5.52
"309","0.98",1,5.611,5.41
"310","0.99",1,5.749,5.695
"311","0.37",1,1.415,1.37
"312","0.6",1,1.987,1.96
"313","0.75",1,2.698,2.665
"314","0.84",1,3.45,3.465
"315","0.9",1,4.158,4.24
"316","0.94",1,4.574,4.65
"317","0.96",1,5.15,5.305
"318","0.97",1,5.413,5.415
"319","0.98",1,5.601,5.505
"320","0.99",1,5.753,5.79
"321","0.37",1,1.45,1.43
"322","0.6",1,2.018,2.07
"323","0.75",1,2.76,2.875
"324","0.84",1,3.433,3.33
"325","0.9",1,4.08,3.97
"326","0.94",1,4.625,4.435
"327","0.96",1,5.102,5.05
"328","0.97",1,5.459,5.465
"329","0.98",1,5.599,5.705
"330","0.99",1,5.687,5.625
"331","0.37",1,1.474,1.51
"332","0.6",1,1.981,2.11
"333","0.75",1,2.669,2.885
"334","0.84",1,3.411,3.425
"335","0.9",1,4.183,4.27
"336","0.94",1,4.78,4.73
"337","0.96",1,5.183,5.035
"338","0.97",1,5.38,5.285
"339","0.98",1,5.631,5.595
"340","0.99",1,5.809,5.805
"341","0.37",1,1.458,1.465
"342","0.6",1,1.988,2.04
"343","0.75",1,2.694,2.66
"344","0.84",1,3.379,3.425
"345","0.9",1,4.045,4.11
"346","0.94",1,4.608,4.79
"347","0.96",1,5.074,5.07
"348","0.97",1,5.459,5.46
"349","0.98",1,5.576,5.545
"350","0.99",1,5.788,5.845
"351","0.37",1,1.469,1.51
"352","0.6",1,1.992,2.02
"353","0.75",1,2.659,2.72
"354","0.84",1,3.464,3.59
"355","0.9",1,4.105,4.12
"356","0.94",1,4.794,4.925
"357","0.96",1,5.113,4.91
"358","0.97",1,5.438,5.43
"359","0.98",1,5.57,5.59
"360","0.99",1,5.789,5.855
"361","0.37",1,1.452,1.455
"362","0.6",1,1.986,1.895
"363","0.75",1,2.604,2.58
"364","0.84",1,3.474,3.515
"365","0.9",1,4.243,4.1
"366","0.94",1,4.715,4.805
"367","0.96",1,5.092,5.11
"368","0.97",1,5.354,5.315
"369","0.98",1,5.623,5.57
"370","0.99",1,5.754,5.65
"371","0.37",0,1.453,1.375
"372","0.6",1,2.013,2.025
"373","0.75",1,2.644,2.715
"374","0.84",1,3.434,3.31
"375","0.9",1,4.141,4.265
"376","0.94",1,4.711,4.64
"377","0.96",1,5.106,5.055
"378","0.97",1,5.339,5.165
"379","0.98",1,5.597,5.69
"380","0.99",1,5.755,5.83
"381","0.37",1,1.432,1.455
"382","0.6",1,2.011,1.97
"383","0.75",1,2.701,2.73
"384","0.84",1,3.525,3.495
"385","0.9",1,4.144,4.29
"386","0.94",1,4.654,4.555
"387","0.96",1,5.04,5.135
"388","0.97",1,5.453,5.38
"389","0.98",1,5.604,5.58
"390","0.99",1,5.745,5.69
"391","0.37",1,1.484,1.525
"392","0.6",1,2.01,2.13
"393","0.75",1,2.737,2.46
"394","0.84",1,3.448,3.595
"395","0.9",1,4.203,4.24
"396","0.94",1,4.775,4.715
"397","0.96",1,5.119,5.025
"398","0.97",1,5.386,5.36
"399","0.98",1,5.611,5.66
"400","0.99",1,5.799,5.79
"401","0.37",2,1.436,1.4
"402","0.6",2,1.922,1.885
"403","0.75",1,2.655,2.565
"404","0.84",1,3.425,3.61
"405","0.9",1,4.189,4.245
